happy,year,age,sex,marital,degree,finrela,health,wtssall
not too happy,1998,59,female,separated,lt high school,below average,good,0.5501
very happy,1998,73,female,married,junior college,below average,excellent,1.1001
not too happy,1998,40,female,divorced,high school,average,fair,0.5501
pretty happy,1998,73,male,married,lt high school,far below average,poor,1.1001
pretty happy,1998,47,male,never married,high school,below average,good,0.5501
pretty happy,1998,20,male,never married,lt high school,far below average,good,1.1001
pretty happy,2000,26,male,never married,bachelor,above average,excellent,1.0985
pretty happy,2000,48,female,divorced,high school,below average,fair,0.5493
pretty happy,2000,67,female,widowed,high school,below average,good,0.5493
very happy,2000,39,female,never married,high school,above average,NA,0.5493
pretty happy,2000,25,female,divorced,junior college,above average,NA,0.5493
pretty happy,2000,25,female,married,high school,NA,good,1.0985
very happy,2000,36,male,never married,high school,average,good,0.5493
pretty happy,2000,44,female,divorced,junior college,average,good,0.5493
pretty happy,2000,44,male,married,graduate,far above average,excellent,1.6478
very happy,2000,47,male,married,bachelor,above average,NA,1.0985
very happy,2000,53,female,married,graduate,above average,NA,1.0985
pretty happy,2000,52,male,married,graduate,above average,good,1.0985
pretty happy,2000,52,male,married,high school,average,good,1.0985
very happy,2000,51,male,married,bachelor,above average,excellent,1.0985
pretty happy,2000,52,female,divorced,bachelor,above average,excellent,0.5493
pretty happy,2000,40,male,married,high school,average,NA,1.0985
very happy,2000,77,male,widowed,junior college,below average,excellent,0.5493
pretty happy,2000,44,male,never married,high school,average,NA,1.0985
pretty happy,2000,40,male,married,lt high school,below average,good,1.0985
very happy,2000,45,female,married,high school,average,excellent,1.6478
pretty happy,2000,48,male,married,bachelor,far above average,NA,1.0985
very happy,2000,49,female,married,bachelor,above average,excellent,1.0985
pretty happy,2000,19,male,never married,NA,above average,excellent,1.6478
pretty happy,2000,54,male,widowed,bachelor,average,good,1.6478
pretty happy,2000,82,female,widowed,bachelor,average,good,0.5493
pretty happy,2000,83,female,widowed,high school,average,fair,0.5493
pretty happy,2000,89,male,widowed,high school,average,poor,0.5493
not too happy,2000,88,female,widowed,high school,above average,fair,0.5493
pretty happy,2000,72,female,divorced,high school,below average,poor,0.5493
very happy,2000,82,female,widowed,high school,above average,excellent,0.5493
very happy,2000,89,female,widowed,high school,below average,NA,0.5493
very happy,2000,34,female,married,bachelor,average,good,1.0985
pretty happy,2000,55,female,married,high school,average,excellent,1.0985
pretty happy,2000,37,male,never married,high school,average,fair,1.0985
very happy,2000,22,male,married,high school,average,good,1.0985
not too happy,2000,33,female,never married,lt high school,NA,good,0.5493
NA,2000,37,male,never married,bachelor,above average,good,0.5493
NA,2000,43,male,never married,high school,average,fair,0.5493
pretty happy,2000,29,male,never married,bachelor,above average,good,0.5493
pretty happy,2000,57,female,never married,high school,average,excellent,0.5493
pretty happy,2000,31,female,married,bachelor,average,fair,1.0985
very happy,2000,45,female,married,junior college,above average,excellent,1.0985
pretty happy,2000,36,male,divorced,high school,below average,excellent,1.0985
not too happy,2000,52,male,never married,graduate,below average,poor,0.5493
pretty happy,2000,26,male,never married,high school,average,NA,1.0985
pretty happy,2000,46,female,never married,lt high school,below average,fair,1.0985
very happy,2000,65,male,married,bachelor,above average,excellent,1.0985
very happy,2000,52,female,married,high school,above average,NA,1.0985
very happy,2000,56,female,married,bachelor,above average,excellent,1.6478
pretty happy,2000,66,male,married,bachelor,above average,good,1.0985
pretty happy,2000,20,male,never married,lt high school,above average,good,1.0985
pretty happy,2000,64,female,married,bachelor,above average,excellent,1.0985
very happy,2000,59,male,married,graduate,above average,excellent,1.0985
pretty happy,2000,46,female,married,high school,above average,good,2.1971
pretty happy,2000,26,male,married,bachelor,below average,excellent,1.0985
pretty happy,2000,39,female,divorced,high school,average,good,0.5493
very happy,2000,51,female,divorced,high school,average,good,1.0985
pretty happy,2000,45,female,divorced,graduate,average,excellent,0.5493
pretty happy,2000,23,female,never married,bachelor,above average,good,1.0985
pretty happy,2000,21,female,never married,NA,average,excellent,1.0985
very happy,2000,26,female,married,bachelor,below average,NA,1.0985
pretty happy,2000,31,female,married,graduate,average,excellent,1.0985
very happy,2000,27,female,never married,bachelor,average,good,1.0985
pretty happy,2000,78,female,divorced,high school,below average,fair,0.5493
pretty happy,2000,29,female,never married,lt high school,below average,good,0.5493
pretty happy,2000,43,male,widowed,high school,average,good,1.6478
very happy,2000,61,female,divorced,junior college,average,excellent,0.5493
very happy,2000,33,female,married,lt high school,average,excellent,1.0985
pretty happy,2000,34,female,never married,high school,average,excellent,0.5493
very happy,2000,89,female,never married,lt high school,below average,NA,0.5493
NA,2000,83,female,widowed,lt high school,average,fair,0.5493
pretty happy,2000,78,female,widowed,lt high school,below average,good,0.5493
pretty happy,2000,89,female,widowed,high school,above average,good,0.5493
pretty happy,2000,84,female,widowed,high school,far below average,poor,0.5493
NA,2000,69,female,widowed,lt high school,far below average,NA,0.5493
pretty happy,2000,32,female,never married,lt high school,far below average,excellent,0.5493
not too happy,2000,76,female,widowed,lt high school,average,fair,1.0985
not too happy,2000,41,female,never married,high school,far below average,fair,0.5493
pretty happy,2000,32,male,married,graduate,far below average,excellent,1.0985
pretty happy,2000,29,female,never married,graduate,average,fair,1.0985
pretty happy,2000,40,female,married,high school,average,NA,1.0985
pretty happy,2000,44,female,married,junior college,average,good,1.6478
very happy,2000,70,female,widowed,graduate,average,NA,0.5493
not too happy,2000,40,male,married,high school,average,fair,1.0985
pretty happy,2000,51,female,married,high school,average,good,1.0985
not too happy,2000,75,male,divorced,high school,below average,poor,0.5493
pretty happy,2000,22,male,never married,high school,average,good,1.0985
not too happy,2000,53,female,separated,bachelor,average,poor,0.5493
pretty happy,2000,20,male,never married,high school,average,excellent,1.0985
pretty happy,2000,80,female,widowed,high school,below average,good,1.0985
not too happy,2000,70,male,widowed,lt high school,average,good,0.5493
very happy,2000,45,male,married,junior college,below average,excellent,1.0985
pretty happy,2000,46,female,divorced,NA,below average,good,1.0985
pretty happy,2000,24,male,never married,bachelor,above average,NA,1.6478
pretty happy,2000,51,male,never married,high school,below average,excellent,1.0985
very happy,2000,32,male,never married,high school,average,NA,1.0985
very happy,2000,53,female,married,high school,above average,fair,1.0985
very happy,2000,52,female,married,graduate,above average,excellent,2.1971
very happy,2000,83,male,widowed,bachelor,above average,good,0.5493
pretty happy,2000,39,male,divorced,graduate,above average,excellent,0.5493
very happy,2000,47,male,married,graduate,average,excellent,1.0985
pretty happy,2000,45,male,married,bachelor,above average,excellent,1.0985
pretty happy,2000,48,female,married,bachelor,above average,excellent,1.0985
very happy,2000,50,male,married,bachelor,average,good,1.0985
pretty happy,2000,78,male,widowed,high school,above average,fair,0.5493
not too happy,2000,45,female,married,bachelor,average,poor,1.6478
pretty happy,2000,56,male,divorced,bachelor,above average,NA,0.5493
very happy,2000,47,female,divorced,bachelor,above average,good,0.5493
pretty happy,2000,72,male,married,bachelor,average,poor,1.0985
pretty happy,2000,29,female,never married,high school,average,good,0.5493
very happy,2000,26,male,married,junior college,average,good,1.0985
pretty happy,2000,52,male,married,high school,average,good,1.0985
pretty happy,2000,39,male,separated,bachelor,average,good,0.5493
pretty happy,2000,30,female,married,bachelor,average,NA,1.0985
pretty happy,2000,48,female,never married,high school,average,NA,0.5493
pretty happy,2000,62,female,divorced,high school,NA,good,0.5493
pretty happy,2000,57,female,divorced,high school,average,NA,1.0985
pretty happy,2000,60,male,separated,lt high school,above average,fair,0.5493
very happy,2000,47,female,married,lt high school,average,excellent,2.1971
not too happy,2000,55,female,widowed,lt high school,average,poor,1.6478
not too happy,2000,43,female,separated,lt high school,below average,poor,1.0985
very happy,2000,31,female,divorced,lt high school,below average,fair,0.5493
not too happy,2000,44,male,married,lt high school,far below average,poor,1.0985
pretty happy,2000,40,male,divorced,junior college,average,excellent,0.5493
very happy,2000,25,female,never married,high school,average,excellent,1.0985
pretty happy,2000,37,female,divorced,high school,average,fair,0.5493
not too happy,2000,56,male,divorced,lt high school,below average,fair,0.5493
very happy,2000,28,male,married,lt high school,far below average,NA,1.0985
NA,2000,36,male,never married,lt high school,far below average,excellent,1.0985
pretty happy,2000,35,male,never married,high school,below average,good,0.5493
very happy,2000,23,male,never married,high school,below average,good,1.0985
very happy,2000,30,male,married,high school,below average,good,1.0985
pretty happy,2000,32,male,married,graduate,below average,excellent,0.5493
not too happy,2000,50,female,divorced,high school,average,fair,0.5493
pretty happy,2000,38,female,widowed,high school,below average,good,0.5493
NA,2000,31,female,never married,bachelor,average,excellent,0.5493
pretty happy,2000,82,female,widowed,lt high school,far below average,poor,0.5493
not too happy,2000,73,female,divorced,high school,far below average,NA,0.5493
pretty happy,2000,57,male,separated,lt high school,below average,NA,0.5493
not too happy,2000,60,female,widowed,high school,average,fair,0.5493
NA,2000,76,male,never married,lt high school,average,fair,0.5493
pretty happy,2000,70,female,widowed,lt high school,average,NA,0.5493
pretty happy,2000,87,female,widowed,lt high school,below average,fair,0.5493
very happy,2000,70,female,widowed,lt high school,far below average,good,0.5493
pretty happy,2000,78,female,widowed,lt high school,average,fair,0.5493
pretty happy,2000,32,female,never married,junior college,below average,good,1.0985
not too happy,2000,58,female,never married,high school,below average,fair,0.5493
pretty happy,2000,29,female,never married,high school,below average,fair,0.5493
pretty happy,2000,39,female,never married,bachelor,average,good,0.5493
very happy,2000,44,female,never married,high school,above average,NA,0.5493
NA,2000,40,female,never married,high school,average,good,1.0985
very happy,2000,36,female,never married,lt high school,below average,excellent,0.5493
pretty happy,2000,52,male,married,high school,average,excellent,2.1971
very happy,2000,41,female,married,high school,average,excellent,1.0985
very happy,2000,48,female,separated,high school,NA,NA,1.0985
pretty happy,2000,33,male,never married,lt high school,above average,good,1.0985
very happy,2000,65,female,widowed,high school,average,good,1.6478
pretty happy,2000,41,male,widowed,high school,average,good,1.0985
very happy,2000,58,male,married,graduate,far above average,excellent,2.1971
pretty happy,2000,48,female,married,bachelor,above average,good,2.1971
pretty happy,2000,63,female,married,high school,average,good,1.0985
very happy,2000,43,female,married,high school,average,good,1.0985
pretty happy,2000,62,female,married,lt high school,average,good,1.0985
very happy,2000,48,male,never married,bachelor,far above average,excellent,0.5493
pretty happy,2000,49,male,married,graduate,average,NA,1.0985
pretty happy,2000,48,male,divorced,bachelor,above average,NA,1.0985
pretty happy,2000,19,male,never married,lt high school,average,good,2.7463
very happy,2000,70,male,married,high school,average,fair,1.0985
pretty happy,2000,42,male,married,lt high school,average,good,1.0985
very happy,2000,36,female,married,high school,average,NA,1.0985
pretty happy,2000,30,male,never married,high school,average,excellent,0.5493
pretty happy,2000,32,male,never married,high school,average,NA,1.6478
pretty happy,2000,36,male,married,high school,above average,excellent,1.0985
pretty happy,2000,38,male,married,high school,average,fair,1.0985
very happy,2000,58,female,married,bachelor,above average,excellent,1.0985
pretty happy,2000,47,female,married,junior college,far above average,good,1.0985
pretty happy,2000,55,female,married,high school,average,good,1.0985
very happy,2000,72,male,married,graduate,average,excellent,1.0985
very happy,2000,31,female,married,junior college,average,good,1.0985
not too happy,2000,45,male,married,high school,average,fair,1.0985
very happy,2000,45,female,married,bachelor,above average,excellent,1.0985
pretty happy,2000,85,female,widowed,high school,below average,good,0.5493
very happy,2000,48,male,widowed,bachelor,average,good,1.0985
pretty happy,2000,50,male,married,NA,above average,NA,1.0985
very happy,2000,50,male,married,graduate,above average,excellent,1.6478
very happy,2000,51,male,married,graduate,average,good,1.0985
pretty happy,2000,48,female,divorced,graduate,above average,good,1.0985
pretty happy,2000,45,female,married,graduate,above average,NA,1.0985
very happy,2000,39,male,married,bachelor,above average,good,1.0985
NA,2000,38,male,never married,graduate,above average,excellent,0.5493
pretty happy,2000,40,male,never married,bachelor,below average,good,0.5493
pretty happy,2000,33,female,never married,bachelor,below average,good,0.5493
pretty happy,2000,56,male,divorced,lt high school,above average,excellent,1.0985
pretty happy,2000,67,male,never married,graduate,average,NA,0.5493
NA,2000,43,female,never married,high school,average,excellent,1.0985
pretty happy,2000,56,male,married,bachelor,above average,good,1.6478
pretty happy,2000,48,female,never married,lt high school,below average,fair,0.5493
pretty happy,2000,32,female,separated,high school,above average,good,0.5493
very happy,2000,23,female,never married,lt high school,average,NA,1.0985
NA,2000,28,female,never married,lt high school,far above average,good,0.5493
very happy,2000,48,female,divorced,high school,far below average,NA,0.5493
pretty happy,2000,77,female,widowed,high school,below average,fair,0.5493
pretty happy,2000,38,female,separated,lt high school,below average,good,1.0985
very happy,2000,40,female,married,bachelor,below average,good,2.7463
pretty happy,2000,39,female,married,bachelor,above average,excellent,1.0985
NA,2000,30,male,separated,graduate,far above average,good,0.5493
pretty happy,2000,45,male,divorced,high school,above average,excellent,1.0985
very happy,2000,52,male,divorced,bachelor,above average,NA,1.0985
pretty happy,2000,53,female,never married,high school,far above average,excellent,0.5493
pretty happy,2000,53,female,married,high school,above average,NA,1.0985
pretty happy,2000,39,female,married,bachelor,above average,good,1.0985
very happy,2000,78,female,married,high school,above average,fair,1.0985
very happy,2000,41,male,married,high school,average,good,1.0985
pretty happy,2000,30,female,married,bachelor,far above average,excellent,1.0985
pretty happy,2000,20,male,never married,lt high school,average,fair,1.6478
not too happy,2000,26,female,never married,high school,far below average,fair,1.6478
pretty happy,2000,21,male,never married,lt high school,average,good,1.6478
pretty happy,2000,31,female,married,high school,above average,good,1.0985
pretty happy,2000,32,male,married,high school,above average,NA,2.1971
NA,2000,45,female,separated,graduate,average,good,0.5493
very happy,2000,28,female,married,high school,average,excellent,1.0985
not too happy,2000,21,female,never married,junior college,average,NA,1.0985
pretty happy,2000,36,male,married,high school,average,good,1.0985
very happy,2000,35,female,never married,junior college,average,excellent,1.0985
pretty happy,2000,38,female,divorced,lt high school,below average,fair,1.0985
pretty happy,2000,NA,female,never married,graduate,average,NA,0.5493
pretty happy,2000,28,male,never married,bachelor,above average,excellent,1.0985
not too happy,2000,62,male,never married,lt high school,average,good,1.6478
pretty happy,2000,53,female,married,high school,above average,good,1.0985
pretty happy,2000,27,male,married,NA,average,good,1.0985
pretty happy,2000,45,male,never married,high school,above average,NA,0.5493
very happy,2000,46,male,married,high school,below average,good,1.0985
pretty happy,2000,82,female,widowed,junior college,average,poor,0.5493
pretty happy,2000,56,male,married,high school,below average,good,1.6478
pretty happy,2000,42,female,never married,high school,far below average,good,1.0985
pretty happy,2000,66,female,divorced,lt high school,average,good,0.5493
not too happy,2000,36,male,married,lt high school,average,NA,1.0985
very happy,2000,49,male,separated,graduate,far above average,good,0.5493
very happy,2000,72,female,married,bachelor,above average,NA,1.6478
pretty happy,2000,53,female,married,high school,above average,good,1.0985
very happy,2000,42,female,married,graduate,above average,excellent,1.0985
pretty happy,2000,79,male,widowed,graduate,above average,NA,0.5493
not too happy,2000,50,female,married,junior college,far above average,fair,1.0985
not too happy,2000,50,female,widowed,high school,far below average,poor,0.5493
very happy,2000,32,male,married,high school,average,excellent,1.6478
pretty happy,2000,20,female,never married,high school,average,good,1.0985
pretty happy,2000,51,male,married,high school,above average,good,1.0985
very happy,2000,35,male,married,lt high school,average,good,1.0985
very happy,2000,54,male,married,junior college,below average,excellent,2.7463
very happy,2000,65,female,widowed,graduate,below average,good,1.6478
pretty happy,2000,36,female,married,high school,average,good,1.0985
pretty happy,2000,48,female,married,bachelor,average,good,1.0985
very happy,2000,54,female,married,high school,below average,poor,1.6478
pretty happy,2000,62,female,divorced,high school,far below average,NA,0.5493
pretty happy,2000,51,male,never married,high school,above average,NA,1.0985
pretty happy,2000,38,female,married,bachelor,below average,excellent,1.0985
very happy,2000,85,male,married,lt high school,above average,excellent,1.0985
not too happy,2000,67,male,divorced,high school,below average,poor,0.5493
very happy,2000,48,female,married,high school,average,excellent,1.0985
pretty happy,2000,29,male,never married,junior college,average,good,0.5493
pretty happy,2000,64,male,separated,high school,above average,good,0.5493
pretty happy,2000,26,male,divorced,high school,below average,good,2.1971
pretty happy,2000,72,female,widowed,high school,below average,good,0.5493
pretty happy,2000,58,male,married,high school,below average,excellent,1.0985
not too happy,2000,45,female,separated,lt high school,far below average,NA,1.0985
very happy,2000,49,female,widowed,bachelor,average,excellent,0.5493
pretty happy,2000,47,male,married,bachelor,average,poor,1.0985
pretty happy,2000,19,male,never married,high school,below average,excellent,1.0985
pretty happy,2000,37,female,never married,high school,average,NA,0.5493
very happy,2000,24,female,married,high school,below average,good,1.0985
pretty happy,2000,43,male,married,bachelor,above average,good,1.0985
pretty happy,2000,29,male,never married,graduate,average,NA,0.5493
pretty happy,2000,26,male,never married,graduate,far below average,NA,0.5493
pretty happy,2000,24,male,never married,bachelor,above average,NA,0.5493
pretty happy,2000,38,female,divorced,high school,average,NA,0.5493
very happy,2000,60,female,widowed,lt high school,average,good,0.5493
not too happy,2000,48,female,separated,junior college,below average,good,2.1971
not too happy,2000,61,female,divorced,lt high school,average,fair,0.5493
not too happy,2000,59,female,widowed,NA,below average,fair,1.0985
pretty happy,2000,59,female,never married,high school,average,good,0.5493
not too happy,2000,31,female,never married,lt high school,average,fair,1.0985
NA,2000,34,female,never married,lt high school,far below average,excellent,0.5493
very happy,2000,NA,male,married,graduate,above average,NA,1.0985
pretty happy,2000,32,male,married,high school,below average,excellent,1.0985
pretty happy,2000,18,female,never married,lt high school,average,good,1.0985
not too happy,2000,32,male,never married,high school,below average,excellent,1.0985
pretty happy,2000,42,male,never married,high school,above average,NA,0.5493
pretty happy,2000,38,female,divorced,high school,far below average,NA,0.5493
pretty happy,2000,25,male,never married,high school,below average,good,1.6478
not too happy,2000,54,female,divorced,high school,average,good,0.5493
pretty happy,2000,47,male,married,lt high school,far below average,good,1.6478
pretty happy,2000,31,male,never married,high school,below average,good,0.5493
pretty happy,2000,40,female,separated,bachelor,average,good,0.5493
very happy,2000,60,female,separated,high school,average,good,0.5493
not too happy,2000,34,female,never married,junior college,far below average,poor,1.0985
pretty happy,2000,36,male,married,high school,average,good,1.0985
not too happy,2000,43,female,never married,lt high school,far below average,NA,0.5493
pretty happy,2000,28,male,divorced,high school,below average,good,1.0985
pretty happy,2000,34,female,never married,junior college,far below average,excellent,0.5493
pretty happy,2000,44,female,never married,high school,NA,good,0.5493
pretty happy,2000,22,female,never married,high school,average,good,0.5493
not too happy,2000,24,female,never married,high school,average,good,0.5493
very happy,2000,31,female,divorced,lt high school,average,good,0.5493
pretty happy,2000,45,male,divorced,high school,average,good,0.5493
pretty happy,2000,71,female,married,bachelor,above average,good,1.0985
pretty happy,2000,65,male,married,bachelor,above average,excellent,1.0985
pretty happy,2000,40,female,married,high school,average,good,1.0985
pretty happy,2000,59,male,married,graduate,above average,NA,1.0985
very happy,2000,38,female,married,bachelor,above average,good,1.0985
very happy,2000,73,female,divorced,bachelor,far above average,excellent,1.0985
pretty happy,2000,31,female,married,graduate,far above average,excellent,1.0985
very happy,2000,44,female,married,bachelor,far above average,excellent,1.0985
very happy,2000,34,female,married,bachelor,above average,excellent,1.0985
very happy,2000,26,female,never married,bachelor,above average,excellent,0.5493
pretty happy,2000,38,male,married,high school,average,excellent,1.0985
pretty happy,2000,29,female,never married,bachelor,above average,excellent,0.5493
pretty happy,2000,36,male,never married,graduate,below average,good,0.5493
very happy,2000,32,male,married,graduate,far above average,excellent,1.0985
pretty happy,2000,26,female,married,bachelor,above average,excellent,1.0985
very happy,2000,47,male,married,graduate,far above average,NA,1.0985
very happy,2000,37,female,divorced,graduate,average,good,0.5493
pretty happy,2000,29,female,never married,bachelor,average,excellent,1.0985
not too happy,2000,37,male,never married,bachelor,average,good,0.5493
pretty happy,2000,35,male,married,high school,above average,NA,1.0985
pretty happy,2000,68,male,married,high school,above average,NA,1.0985
very happy,2000,26,female,married,bachelor,average,excellent,1.0985
pretty happy,2000,84,male,never married,graduate,far above average,poor,0.5493
pretty happy,2000,23,male,never married,high school,above average,fair,1.6478
pretty happy,2000,22,male,never married,high school,average,fair,0.5493
very happy,2000,42,male,married,high school,far above average,excellent,1.0985
pretty happy,2000,53,female,widowed,high school,above average,NA,0.5493
pretty happy,2000,43,male,married,high school,average,good,1.0985
pretty happy,2000,49,male,married,junior college,average,good,1.6478
very happy,2000,74,male,widowed,high school,average,good,0.5493
very happy,2000,47,female,married,bachelor,average,excellent,1.0985
pretty happy,2000,37,male,married,junior college,average,excellent,1.0985
very happy,2000,42,male,married,junior college,above average,excellent,1.6478
pretty happy,2000,18,male,never married,lt high school,average,good,1.6478
very happy,2000,22,female,never married,junior college,average,NA,1.0985
very happy,2000,51,male,married,graduate,above average,excellent,1.0985
pretty happy,2000,30,male,married,high school,average,excellent,1.0985
very happy,2000,59,male,married,junior college,far above average,excellent,1.0985
very happy,2000,52,male,married,high school,below average,good,1.0985
pretty happy,2000,58,female,married,lt high school,average,good,1.0985
pretty happy,2000,40,male,never married,junior college,above average,excellent,0.5493
very happy,2000,63,male,married,junior college,above average,good,1.0985
very happy,2000,56,female,married,high school,average,good,1.0985
pretty happy,2000,25,male,never married,bachelor,below average,excellent,0.5493
not too happy,2000,28,female,never married,high school,average,poor,0.5493
pretty happy,2000,67,female,widowed,high school,above average,NA,1.0985
pretty happy,2000,37,female,married,high school,above average,NA,1.0985
pretty happy,2000,72,male,married,high school,average,fair,1.0985
very happy,2000,54,female,married,high school,above average,NA,1.0985
pretty happy,2000,19,male,never married,lt high school,average,fair,1.6478
pretty happy,2000,44,female,married,high school,above average,NA,1.0985
very happy,2000,42,male,married,bachelor,above average,excellent,1.0985
pretty happy,2000,19,male,never married,high school,far above average,good,1.6478
pretty happy,2000,43,female,married,graduate,above average,good,1.0985
very happy,2000,59,female,divorced,high school,average,excellent,1.6478
pretty happy,2000,52,female,married,lt high school,above average,NA,2.1971
very happy,2000,40,male,married,high school,far above average,good,1.0985
pretty happy,2000,51,female,separated,bachelor,far above average,NA,0.5493
pretty happy,2000,50,male,never married,high school,far above average,fair,0.5493
pretty happy,2000,45,male,never married,bachelor,above average,excellent,1.0985
pretty happy,2000,36,female,married,bachelor,far above average,good,1.0985
pretty happy,2000,45,male,married,graduate,far below average,excellent,1.0985
pretty happy,2000,71,male,divorced,bachelor,above average,excellent,0.5493
pretty happy,2000,58,male,married,high school,average,good,1.6478
pretty happy,2000,31,female,married,junior college,below average,fair,1.0985
pretty happy,2000,25,female,never married,high school,above average,NA,1.0985
pretty happy,2000,34,female,never married,high school,average,NA,0.5493
not too happy,2000,48,male,never married,bachelor,below average,fair,1.0985
pretty happy,2000,26,male,never married,bachelor,average,good,1.0985
not too happy,2000,35,male,divorced,graduate,above average,fair,0.5493
pretty happy,2000,42,male,married,high school,below average,NA,1.0985
very happy,2000,52,male,married,high school,average,good,1.0985
very happy,2000,27,female,divorced,junior college,above average,good,0.5493
not too happy,2000,44,male,never married,lt high school,below average,fair,0.5493
pretty happy,2000,38,female,never married,high school,below average,NA,0.5493
very happy,2000,75,male,married,bachelor,far below average,poor,1.0985
pretty happy,2000,42,female,never married,bachelor,below average,fair,1.0985
very happy,2000,89,female,widowed,high school,average,poor,1.0985
very happy,2000,52,female,married,junior college,above average,good,1.6478
pretty happy,2000,74,male,married,high school,average,poor,1.0985
pretty happy,2000,61,male,divorced,high school,above average,fair,0.5493
pretty happy,2000,76,female,married,high school,average,excellent,1.0985
very happy,2000,50,female,married,high school,average,NA,2.1971
pretty happy,2000,44,male,separated,NA,average,excellent,0.5493
very happy,2000,38,female,married,graduate,average,good,1.0985
pretty happy,2000,53,female,married,high school,average,good,1.6478
pretty happy,2000,71,female,married,lt high school,above average,good,1.0985
pretty happy,2000,73,female,widowed,high school,above average,poor,0.5493
not too happy,2000,43,female,divorced,high school,far below average,poor,1.0985
pretty happy,2000,36,male,married,graduate,average,excellent,1.0985
very happy,2000,40,female,married,graduate,below average,NA,1.0985
very happy,2000,42,female,married,high school,above average,NA,1.0985
pretty happy,2000,68,female,divorced,high school,below average,fair,0.5493
pretty happy,2000,45,female,married,high school,above average,good,1.0985
pretty happy,2000,34,female,divorced,high school,average,excellent,0.5493
not too happy,2000,26,female,never married,high school,below average,good,1.0985
pretty happy,2000,49,female,married,bachelor,above average,NA,1.0985
pretty happy,2000,59,female,married,bachelor,below average,good,1.0985
not too happy,2000,45,male,never married,high school,below average,fair,1.0985
not too happy,2000,77,male,separated,lt high school,NA,poor,0.5493
not too happy,2000,56,male,separated,lt high school,far below average,poor,0.5493
very happy,2000,48,male,never married,lt high school,far below average,excellent,0.5493
NA,2000,57,male,divorced,high school,far below average,fair,0.5493
pretty happy,2000,37,male,married,graduate,above average,good,1.0985
pretty happy,2000,35,female,married,high school,average,good,2.1971
not too happy,2000,42,female,married,graduate,above average,good,1.0985
very happy,2000,46,female,married,high school,average,excellent,1.6478
pretty happy,2000,53,male,married,high school,average,good,1.0985
pretty happy,2000,28,male,never married,high school,average,good,1.0985
pretty happy,2000,54,female,married,bachelor,above average,excellent,1.0985
very happy,2000,38,female,married,bachelor,above average,NA,1.0985
very happy,2000,32,female,married,high school,above average,excellent,1.0985
pretty happy,2000,53,female,married,bachelor,above average,good,1.0985
not too happy,2000,20,female,never married,high school,average,excellent,2.1971
pretty happy,2000,40,female,married,junior college,average,good,1.6478
not too happy,2000,46,female,married,bachelor,average,good,1.0985
very happy,2000,41,male,married,bachelor,above average,NA,1.0985
pretty happy,2000,29,female,married,junior college,below average,excellent,1.0985
pretty happy,2000,53,female,divorced,junior college,average,excellent,0.5493
very happy,2000,73,male,divorced,graduate,above average,NA,0.5493
very happy,2000,58,female,married,junior college,above average,NA,1.6478
pretty happy,2000,58,female,married,high school,above average,excellent,1.0985
very happy,2000,52,female,married,high school,above average,good,1.0985
pretty happy,2000,35,male,married,high school,average,NA,1.0985
very happy,2000,37,male,never married,bachelor,far above average,excellent,0.5493
very happy,2000,41,male,married,lt high school,below average,good,1.6478
NA,2000,38,female,never married,junior college,average,excellent,0.5493
very happy,2000,34,female,married,bachelor,average,good,1.0985
not too happy,2000,39,male,never married,junior college,average,fair,0.5493
pretty happy,2000,56,male,divorced,high school,above average,good,0.5493
pretty happy,2000,52,female,divorced,high school,average,good,0.5493
very happy,2000,36,female,divorced,high school,above average,NA,0.5493
pretty happy,2000,20,male,never married,high school,average,excellent,1.0985
pretty happy,2000,28,male,married,high school,below average,good,1.0985
not too happy,2000,38,female,separated,high school,far below average,fair,0.5493
not too happy,2000,79,female,divorced,lt high school,average,good,0.5493
NA,2000,84,female,widowed,lt high school,below average,poor,0.5493
very happy,2000,61,male,divorced,bachelor,above average,good,0.5493
pretty happy,2000,47,female,divorced,high school,above average,excellent,0.5493
pretty happy,2000,20,female,never married,high school,average,excellent,1.0985
pretty happy,2000,38,male,divorced,high school,above average,good,0.5493
pretty happy,2000,38,male,widowed,bachelor,below average,NA,0.5493
NA,2000,70,female,divorced,graduate,below average,excellent,2.1971
pretty happy,2000,54,female,divorced,high school,average,good,0.5493
NA,2000,32,female,divorced,lt high school,average,fair,1.0985
pretty happy,2000,31,female,never married,lt high school,far below average,good,0.5493
NA,2000,26,male,divorced,lt high school,average,good,1.0985
very happy,2000,84,female,widowed,NA,average,good,0.5493
pretty happy,2000,42,female,widowed,lt high school,average,good,0.5493
very happy,2000,41,female,married,high school,average,good,1.0985
pretty happy,2000,32,female,married,high school,far below average,good,1.0985
very happy,2000,25,female,never married,high school,average,excellent,0.5493
pretty happy,2000,51,male,never married,lt high school,below average,NA,0.5493
NA,2000,30,male,never married,lt high school,average,excellent,0.5493
very happy,2000,34,female,married,high school,above average,excellent,1.0985
very happy,2000,52,male,married,bachelor,above average,good,2.1971
pretty happy,2000,52,female,married,high school,above average,NA,1.0985
pretty happy,2000,79,female,widowed,high school,below average,poor,0.5493
not too happy,2000,26,female,divorced,high school,below average,NA,0.5493
pretty happy,2000,32,female,never married,high school,below average,good,0.5493
very happy,2000,37,male,married,high school,average,good,1.0985
pretty happy,2000,23,female,married,high school,below average,good,1.0985
not too happy,2000,32,male,married,lt high school,average,good,1.0985
